title,author
SWEET LITTLE LIES,Lauren Conrad
PERCY JACKSON AND THE OLYMPIANS (THE ULTIMATE GUIDE),Mary-Jane Knight Designed  Philip Chidlow
THE HUNGER GAMES,Suzanne Collins
FALLEN,Lauren Kate
CATCHING FIRE,Suzanne Collins
THE KIND DIET,Alicia Silverstone
"MASTERING THE ART OF FRENCH COOKING, VOL. 1","Julia Child, Simone Beck and Louisette Bertholle"
THE HAPPINESS PROJECT,Gretchen Rubin
"SO LONG, INSECURITY",Beth Moore
"ACT LIKE A LADY, THINK LIKE A MAN",Steve Harvey with Denene Millner
WORST CASE,James Patterson and Michael Ledwidge
THE HELP,Kathryn Stockett
FLIRT,Laurell K Hamilton
WINTER GARDEN,Kristin Hannah
THE LOST SYMBOL,Dan Brown
DARK TOWER: THE FALL OF GILEAD,Robin Furth and Peter David
THE BOOK OF GENESIS: ILLUSTRATED,R Crumb
BATMAN: THE KILLING JOKE,Alan Moore and Brian Bolland
THE STAND: CAPTAIN TRIPS,Roberto Aguirre-Sacasa and Mike Perkins
DARK TOWER: THE LONG ROAD HOME,Robin Furth and Peter David
GAME CHANGE,John Heilemann and Mark Halperin
THE POLITICIAN,Andrew Young
ON THE BRINK,Henry M Paulson Jr
I AM OZZY,Ozzy Osbourne with Chris Ayres
THE IMMORTAL LIFE OF HENRIETTA LACKS,Rebecca Skloot
"NARUTO, VOL. 47",Masashi Kishimoto
"VAMPIRE KNIGHT, VOL. 9",Matsuri Hino
"BLACK BIRD, VOL. 3",Kanoko Sakurakoji
